Rectangles count; Build time; Request time; Total time
1; 871800; 7757300; 8629100
2; 42600; 3808300; 3850900
4; 78600; 6042200; 6120800
8; 164900; 1975900; 2140800
16; 277800; 2345200; 2623000
32; 1908900; 2896300; 4805200
64; 6584300; 4177900; 10762200
128; 26100000; 4274700; 30374700
256; 65242600; 5734400; 70977000
512; 380473400; 5497000; 385970400
1024; 2608845700; 6851200; 2615696900
2048; 32994003500; 14823100; 33008826600
4096; 171318070500; 8858200; 171326928700
